//Data are generated for export to FLUENT for Air-Cu mixture, where 2 3 4 rows are min max and step.
 'PA' 'Cu'  'T[K]'  'P[atm]'   'H[MJ/kg]'   'Cpef[kJ/kg/K]'  'Visc[Pa*s]'  'Leff[W/m/K]'  'Sigma[1/Ohm/m]'  'Mass[g/mol]' 
  0     0     300         1       
  0   100   30000        10       
  0    10      20         1
     0 0     300         1    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         2    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         3    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         4    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         5    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         6    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         7    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         8    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300         9    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     300        10    0.00186841          1.00992  1.96042e-005      0.0287163            1e-020        28.8914 
     0 0     320         1     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         2     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         3     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         4     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         5     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         6     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         7     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         8     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320         9     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     320        10     0.0220642          1.00984  2.06426e-005      0.0302394            1e-020        28.8914 
     0 0     340         1     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         2     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         3     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         4     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         5     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         6     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         7     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         8     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340         9     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     340        10     0.0422688          1.01076  2.17401e-005      0.0318749            1e-020        28.8914 
     0 0     360         1     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         2     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         3     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         4     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         5     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         6     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         7     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         8     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360         9     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     360        10     0.0624999          1.01246  2.28564e-005      0.0335667            1e-020        28.8914 
     0 0     380         1     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         2     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         3     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         4     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         5     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         6     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         7     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         8     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380         9     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     380        10     0.0827713          1.01477  2.38181e-005      0.0350638            1e-020        28.8914 
     0 0     400         1      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         2      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         3      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         4      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         5      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         6      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         7      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         8      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400         9      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     400        10      0.103094          1.01756   2.4695e-005      0.0364529            1e-020        28.8914 
     0 0     420         1      0.123476          1.02075  2.55758e-005      0.0378501            1e-020        28.8914 
     0 0     420         2      0.123476          1.02075  2.55758e-005      0.0378501            1e-020        28.8914 
     0 0     420         3      0.123476          1.02075  2.55758e-005      0.0378501            1e-020        28.8914 
