Average absorption coefficient, 1/m, Cu 100%, 6 bands P1 model
temperature,K               pressure,atm                Lambda(nm) 10-85            85-102                      102-113                     113-180                     180-1200                    1200-4500                   
300                         1                           9768.7320783018             950.800543433807            155.10630477714             64.1358801599406            0.0001                      0.0001                      
600                         1                           7563.90194595119            586.88336910795             101.292386375504            41.8952038630826            0.0001                      0.0001                      
900                         1                           5065.00211603056            495.977553749869            76.8719940170152            30.6239528962595            0.0001                      0.0001                      
1200                        1                           3756.83096003279            762.852351446332            57.6136199765101            29.5087945193646            0.0001                      0.0001                      
1500                        1                           3124.18684945079            1038.26362193951            51.8804590321046            31.0089173594454            0.0001                      0.0001                      
1800                        1                           2730.71255600501            1203.3961800108             50.9832306438297            33.3390433748053            0.0001                      0.0001                      
2100                        1                           2455.42845232623            1418.97635453303            52.537282964974             37.0914070663736            0.0001                      0.0001                      
2400                        1                           2256.35731842305            1650.90926976159            58.8148588551607            42.0843208788208            0.0001                      0.0001                      
2700                        1                           2096.63295450054            1747.30097661112            65.3792778233825            46.3770063618939            0.0001                      0.0001                      
3000                        1                           1945.62569382328            1742.53628995567            70.0440412357383            46.4079345150738            0.000197122863818941        0.0001                      
3300                        1                           1786.93373701746            1707.35383992895            70.7804426325221            41.0402779038909            0.000354981349067595        0.0001                      
3600                        1                           1629.64079305075            1597.56812639862            63.8405520066652            31.2199437954794            0.000602511296069369        0.0001                      
3900                        1                           1485.37291773289            1452.6435670907             51.5754857114319            20.2255392247903            0.00138994757471589         0.0001                      
4200                        1                           1363.78598687781            1343.66685132006            37.615401542097             12.1137427096706            0.00196453803821213         0.0001                      
4500                        1                           1273.38202577606            1264.02015821514            26.2853143536133            7.29586867081893            0.00213719243583554         0.0001                      
4800                        1                           1220.77092519053            1185.53806992937            19.9330624875105            4.14500603563445            0.00255070242617488         0.0001                      
5100                        1                           1201.24974963917            1101.31467758896            15.6132498739071            2.32140335738645            0.00289696712753675         0.0001                      
5400                        1                           1205.89906959594            1011.07532132304            11.1958443545719            1.64915823374025            0.00336126915686136         0.000106071143091149        
5700                        1                           1225.79251991777            917.842895098753            9.01195812894711            1.30944463225625            0.00393420397539607         0.000147417137644518        
6000                        1                           1252.54069882377            818.381060767341            7.34687420574105            0.963574126171436           0.00442448593661035         0.000275048792474063        
6300                        1                           1279.44088121411            704.415843790766            5.92939180207643            0.682997757565818           0.00476604732107348         0.000406436770019764        
6600                        1                           1300.12065757861            568.884959731993            5.26617972156636            0.490456581709513           0.00506052494909731         0.000587902260417402        
6900                        1                           1308.47170663572            431.774913100102            5.23452668389831            0.369449065027833           0.00542409977729402         0.000959244332053151        
7200                        1                           1302.89315505872            326.418625547035            5.74556963361689            0.282874807646021           0.00600950804913131         0.00158642029708544         
7500                        1                           1285.56225980254            241.095865886927            6.6050636007553             0.234489416831792           0.00699035333530123         0.00249771961733381         
7800                        1                           1258.77307657209            170.178236527013            7.49572994085728            0.234872969222347           0.00848645249805719         0.00472020135912516         
8100                        1                           1224.81966107229            127.637324412037            8.25985919527352            0.248689196598861           0.0105182996693395          0.0093702920533121          
8400                        1                           1185.73239200327            109.624600792925            9.8312269383841             0.289590261178757           0.0131297687299023          0.0162664404135633          
8700                        1                           1142.39782257078            97.6181882061246            11.7765074585468            0.357210885720668           0.0169457019647613          0.0269142935579098          
9000                        1                           1095.39241941861            93.5301236410778            13.4782471231811            0.438403995282204           0.0230769359731635          0.0449109076870519          
9300                        1                           1045.42989824948            95.9965122324302            14.8429308082171            0.530196401663691           0.0320772887237335          0.0714021948208209          
9600                        1                           995.322312266162            99.5353940391636            15.967143364089             0.642855972779668           0.0429657102665624          0.110485289293005           
